filename,mean_queuelen,Total #requests,#Instances for queue length > 10
arrival-0-101-0.2-0-0-DM.log,29.73424151316031,2152951,441706
arrival-0-101-0.2-0-0-HP.log,39.01874831955533,3812235,911991
arrival-0-101-0.2-0-0-WS.log,24.745421291168785,3763288,782619
arrival-0-101-0.4-0-0-DM.log,54.484111449602715,8043528,3020099
arrival-0-101-0.4-0-0-HP.log,47.34753126771157,7892087,2556538
arrival-0-101-0.4-0-0-WS.log,35.98799469201435,7282612,2008117
arrival-0-101-0.6-0-0-DM.log,43.650011211740576,8789893,2858180
arrival-0-101-0.6-0-0-HP.log,51.05648324870381,9721785,3853710
arrival-0-101-0.6-0-0-WS.log,46.49338673408231,7251334,3058627
arrival-0-101-0.8-0-0-DM.log,16.17714152365234,4795149,787823
arrival-0-101-0.8-0-0-HP.log,15.252017500429925,7303592,1643657
arrival-0-101-0.8-0-0-WS.log,63.97458885514326,6939829,4666225
arrival-1-101-0.2-0-0-DM.log,27.52688565858679,2157005,644418
arrival-1-101-0.2-0-0-HP.log,55.387501571891725,3825009,1194293
arrival-1-101-0.2-0-0-WS.log,31.523155418826004,3766397,840601
arrival-1-101-0.4-0-0-DM.log,62.13460769937286,8044889,3459963
arrival-1-101-0.4-0-0-HP.log,42.785577327854824,7896068,2694434
arrival-1-101-0.4-0-0-WS.log,35.5097180796294,7240165,2044360
arrival-1-101-0.6-0-0-DM.log,33.1236191649412,8171233,2342647
arrival-1-101-0.6-0-0-HP.log,48.15169137315206,9409810,3568744
arrival-1-101-0.6-0-0-WS.log,47.246653868151206,7196668,3080897
arrival-1-101-0.8-0-0-DM.log,11.040159302917415,3249658,297326
arrival-1-101-0.8-0-0-HP.log,20.302048238330602,6788419,1551721
arrival-1-101-0.8-0-0-WS.log,59.10883094287763,6794869,4344666
arrival-2-101-0.2-0-0-DM.log,1.1595020985101414,2152956,71768
arrival-2-101-0.2-0-0-HP.log,2.529018748291711,3812294,303064
arrival-2-101-0.2-0-0-WS.log,1.8173585228543991,3763258,270023
arrival-2-101-0.4-0-0-DM.log,4.80630157434691,7595467,1440839
arrival-2-101-0.4-0-0-HP.log,3.249589400053391,7892719,1072760
arrival-2-101-0.4-0-0-WS.log,3.073985377289638,7296185,839601
arrival-2-101-0.6-0-0-DM.log,4.004272382067765,7170707,1215358
arrival-2-101-0.6-0-0-HP.log,6.708342740009292,9780288,2379904
arrival-2-101-0.6-0-0-WS.log,6.187433919774226,7278085,1651882
arrival-2-101-0.8-0-0-DM.log,1.2189579798885828,3295541,127697
arrival-2-101-0.8-0-0-HP.log,3.5762844891512557,7110823,894959
arrival-2-101-0.8-0-0-WS.log,13.701010358538557,6801249,3094763
arrival-4-101-0.2-0-0-DM.log,0.02113930800257878,2152956,882
arrival-4-101-0.2-0-0-HP.log,0.18527479779891057,3812294,12874
arrival-4-101-0.2-0-0-WS.log,0.33027472471991026,3763258,41330
arrival-4-101-0.4-0-0-DM.log,0.5146655002522225,4549555,54970
arrival-4-101-0.4-0-0-HP.log,0.6969598182831543,7892719,135628
arrival-4-101-0.4-0-0-WS.log,0.7351075033428393,7183265,144974
arrival-4-101-0.6-0-0-DM.log,0.5200699841799997,5369785,50564
arrival-4-101-0.6-0-0-HP.log,2.0756368739721642,8784234,597035
arrival-4-101-0.6-0-0-WS.log,2.3846216285559243,7046832,526807
arrival-4-101-0.8-0-0-DM.log,0.4592478061123652,3718855,33331
arrival-4-101-0.8-0-0-HP.log,3.160396040428208,4804863,534803
arrival-4-101-0.8-0-0-WS.log,6.543647640697736,6559736,1522780
arrival-6-101-0.2-0-0-DM.log,8.235673268922516,2152951,236825
arrival-6-101-0.2-0-0-HP.log,12.98827762479271,3812282,577807
arrival-6-101-0.2-0-0-WS.log,15.027649626307923,3763125,567658
arrival-6-101-0.4-0-0-DM.log,32.03609594199479,5110713,1229606
arrival-6-101-0.4-0-0-HP.log,26.042068814074376,7891903,1972597
arrival-6-101-0.4-0-0-WS.log,22.374647403671364,7198742,1536164
arrival-6-101-0.6-0-0-DM.log,19.857727187688738,5713987,1261543
arrival-6-101-0.6-0-0-HP.log,45.71168807730514,9186866,3325116
arrival-6-101-0.6-0-0-WS.log,41.79867618379305,6968490,2643869
arrival-6-101-0.8-0-0-DM.log,6.31173244327606,2846858,240152
arrival-6-101-0.8-0-0-HP.log,13.439805883110646,5519767,964159
arrival-6-101-0.8-0-0-WS.log,55.93490956607922,6257663,3193829
